City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,vrontados,38.4089,26.1328,304.07,45,0,4.63,GR,1721345575
188,imbituba,-28.24,-48.6703,285.78,88,1,1.13,BR,1721345576
189,lompoc,34.6391,-120.4579,298.47,72,0,5.14,US,1721345577
190,ulaangom,49.9811,92.0667,292.65,60,90,1.73,MN,1721345578
191,al mayadin,35.0209,40.4535,306.07,38,0,6.82,SY,1721345579
192,big spring,32.2504,-101.4787,306.61,30,0,4.12,US,1721345405
193,beruniy,41.6911,60.7525,295.13,73,0,1.03,UZ,1721345581
194,dryden,49.7833,-92.7503,297.31,43,0,5.66,CA,1721345583
195,nova sintra,14.8667,-24.7167,297.51,81,43,4.46,CV,1721345584
196,greenville,35.6127,-77.3663,296.24,98,40,0.0,US,1721345575
197,general mosconi,-23.1851,-62.303,298.11,29,0,5.07,AR,1721345586
198,altay,47.8667,88.1167,294.03,48,100,0.42,CN,1721345587
199,sarangani,5.4033,125.4636,299.44,85,100,3.66,PH,1721345588
200,lebu,-37.6167,-73.65,281.92,66,3,10.12,CL,1721345097
201,san ignacio rio muerto,27.4167,-110.2333,311.44,34,4,5.68,MX,1721345590
202,ilam,26.9167,87.9167,296.78,92,100,1.73,NP,1721345103
203,owando,-0.4819,15.8999,297.9,70,50,1.49,CG,1721345593
204,guelmim,28.987,-10.0574,299.64,54,20,1.85,MA,1721345594
205,aasiaat,68.7098,-52.8699,278.6,84,38,2.65,GL,1721345595
206,heber springs,35.4915,-92.0313,302.4,59,25,2.84,US,1721345596
207,zouerate,22.7187,-12.4521,308.92,15,5,2.21,MR,1721345597
208,upington,-28.4478,21.2561,281.36,39,0,0.0,ZA,1721345598
209,vilyuysk,63.7553,121.6247,288.71,42,97,3.05,RU,1721345599
210,geraldton,-28.7667,114.6,283.38,87,75,2.57,AU,1721345203
211,puyang chengguanzhen,35.7028,115.0053,301.87,80,19,4.35,CN,1721345602
212,yanggu,36.1106,115.7753,301.82,80,37,3.95,CN,1721345603
213,weno,7.4515,151.8468,302.12,89,100,3.6,FM,1721345604
214,gadzhiyevo,69.2551,33.3362,286.16,87,95,3.46,RU,1721345245
215,upata,8.0086,-62.3989,295.04,98,95,1.19,VE,1721345606
216,luena,-11.7833,19.9167,285.23,27,0,1.91,AO,1721345607
217,cotacachi,0.3,-78.2667,289.9,84,92,1.85,EC,1721345609
218,constantia,44.1833,28.65,300.53,65,43,5.59,RO,1721345610
219,rechka-vydrino,51.485,104.8461,288.19,82,35,1.13,RU,1721345611
220,khanty-mansiysk,61.0042,69.0019,291.21,68,0,2.0,RU,1721345612
221,yaren,-0.5472,166.916,301.81,71,100,4.09,NR,1721345613
222,amga,60.8953,131.9608,292.49,77,99,2.42,RU,1721345614
223,baukau,51.5526,7.2042,294.98,69,65,2.17,DE,1721345616
224,goure,13.9835,10.2704,303.49,45,66,2.0,NE,1721345617
225,gouyave,12.1646,-61.7296,301.58,79,20,1.03,GD,1721345618
226,merizo village,13.2658,144.6691,303.7,83,100,8.65,GU,1721345619
227,sitka,57.0531,-135.33,290.09,67,20,3.6,US,1721345089
228,coquimbo,-29.9533,-71.3436,286.0,78,75,3.09,CL,1721345621
229,bakanas,44.8081,76.2772,299.34,39,87,2.08,KZ,1721345622
230,polur,12.5,79.1333,299.83,68,100,5.64,IN,1721345624
231,chimbarongo,-34.7,-71.05,285.54,66,100,2.84,CL,1721345626
232,east ballina,-28.8667,153.5833,285.82,56,9,3.83,AU,1721345627
233,goba,7.0167,39.9833,284.6,90,87,0.5,ET,1721345628
234,treinta y tres,-33.2333,-54.3833,284.7,89,4,3.69,UY,1721345309
235,bambari,5.768,20.6757,295.17,96,100,0.97,CF,1721345631
236,hasaki,35.7333,140.8333,302.37,84,100,5.23,JP,1721345632
237,alice springs,-23.7,133.8833,283.9,46,0,3.6,AU,1721345633
238,atasu,48.6814,71.6433,292.32,71,85,2.26,KZ,1721345635
239,tazovsky,67.4667,78.7,282.48,76,58,4.76,RU,1721345166
240,lazaro cardenas,17.9583,-102.2,303.1,67,81,4.09,MX,1721345637
241,port alfred,-33.5906,26.891,288.16,69,82,4.52,ZA,1721345180
242,dhidhdhoo,6.8833,73.1,301.76,78,70,8.27,MV,1721345639
243,nadi,-17.8,177.4167,303.15,51,20,4.12,FJ,1721345640
244,tura,25.5198,90.2201,298.21,98,100,2.43,IN,1721345220
245,katabu,-4.9333,122.5167,298.58,73,30,2.99,ID,1721345642
246,khandud,36.9513,72.318,286.57,64,3,2.06,AF,1721345644
247,yuzhno-kurilsk,44.0306,145.8556,287.98,95,100,3.7,RU,1721345645
248,fale old settlement,-9.3852,-171.2468,301.77,72,97,8.97,TK,1721345646
249,al majaridah,19.1236,41.9111,306.0,36,90,1.45,SA,1721345647
250,bizhbulyak,53.6967,54.2642,287.32,92,7,3.11,RU,1721345648
251,susuman,62.7833,148.1667,292.34,58,23,2.1,RU,1721345649
252,tan-tan,28.438,-11.1032,295.69,75,42,3.4,MA,1721345650
